Date des Kudos,Type de Kudos,ID parent
18 juil. 2020 à 07:12:12,Activité,3759929058
20 juil. 2020 à 08:42:57,Activité,3784317036
20 juil. 2020 à 08:43:10,Activité,3775216117
20 juil. 2020 à 08:44:30,Activité,3780165745
20 juil. 2020 à 09:14:15,Activité,3779489661
21 juil. 2020 à 09:00:12,Activité,3789775752
21 juil. 2020 à 21:08:53,Activité,3795741381
21 juil. 2020 à 21:09:04,Activité,3795416987
26 juil. 2020 à 15:25:00,Activité,3813798416
26 juil. 2020 à 15:25:12,Activité,3813976057
26 juil. 2020 à 15:25:20,Activité,3810473730
28 juil. 2020 à 07:39:20,Activité,3823369339
28 juil. 2020 à 07:39:36,Activité,3823367692
28 juil. 2020 à 07:39:51,Activité,3823089023
28 juil. 2020 à 10:00:35,Activité,3825327851
28 juil. 2020 à 10:00:37,Activité,3825327818
28 juil. 2020 à 10:00:45,Activité,3825329394
28 juil. 2020 à 10:00:49,Activité,3825334939
28 juil. 2020 à 10:00:51,Activité,3825337372
28 juil. 2020 à 17:27:20,Activité,3825779186
29 juil. 2020 à 08:06:58,Activité,3831337765
29 juil. 2020 à 08:07:40,Activité,3829539354
30 juil. 2020 à 12:56:27,Activité,3837166193
30 juil. 2020 à 12:56:31,Activité,3835058229
30 juil. 2020 à 12:56:34,Activité,3835058297
30 juil. 2020 à 16:59:31,Activité,3839097879
31 juil. 2020 à 05:45:27,Activité,3839949951
31 juil. 2020 à 11:55:44,Activité,3839101698
31 juil. 2020 à 11:55:53,Activité,3839094809
1 août 2020 à 15:02:34,Activité,3847295918
1 août 2020 à 15:02:44,Activité,3847281186
1 août 2020 à 15:02:49,Activité,3847276702
2 août 2020 à 12:44:40,Activité,3851759589
2 août 2020 à 15:36:31,Activité,3853358041
2 août 2020 à 18:26:53,Activité,3854764152
2 août 2020 à 18:27:12,Activité,3854493481
2 août 2020 à 18:27:23,Activité,3854958264
3 août 2020 à 20:42:15,Activité,3859321205
3 août 2020 à 20:43:18,Activité,3857312253
3 août 2020 à 20:43:31,Activité,3858899088
4 août 2020 à 07:04:26,Activité,3861399678
5 août 2020 à 13:53:42,Activité,3863589606
8 août 2020 à 17:55:41,Activité,3881782789
8 août 2020 à 17:57:02,Activité,3876322573
8 août 2020 à 17:57:28,Activité,3872585769
9 août 2020 à 14:28:22,Activité,3887014940
9 août 2020 à 14:28:55,Activité,3885796114
9 août 2020 à 14:29:08,Activité,3886897257
9 août 2020 à 14:29:15,Activité,3879355802
9 août 2020 à 14:29:17,Activité,3879350088
9 août 2020 à 14:29:18,Activité,3882813207
9 août 2020 à 14:29:21,Activité,3879357061
9 août 2020 à 14:29:29,Activité,3879350764
16 août 2020 à 14:31:59,Activité,3920350028
16 août 2020 à 14:33:26,Activité,3910312622
16 août 2020 à 14:33:41,Activité,3901154026
16 août 2020 à 19:39:47,Activité,3922697302
17 août 2020 à 17:06:53,Activité,3925089656
20 août 2020 à 15:19:20,Activité,3934477381
20 août 2020 à 15:19:48,Activité,3935104026
20 août 2020 à 15:19:58,Activité,3939759827
20 août 2020 à 15:21:04,Activité,3930841260
23 août 2020 à 17:03:16,Activité,3953050640
23 août 2020 à 17:03:24,Activité,3945734189
24 août 2020 à 21:22:49,Activité,3960342001
26 août 2020 à 10:15:22,Activité,3967505820
26 août 2020 à 10:15:36,Activité,3962978634
26 août 2020 à 10:15:39,Activité,3964692439
26 août 2020 à 11:57:09,Activité,3964702553
26 août 2020 à 20:36:58,Activité,3969844289
29 août 2020 à 12:02:13,Activité,3974412725
29 août 2020 à 12:02:16,Activité,3978793751
3 sept. 2020 à 17:31:37,Activité,4002079652
3 sept. 2020 à 17:33:10,Activité,3996843754
3 sept. 2020 à 17:33:49,Activité,4000208768
6 sept. 2020 à 12:45:57,Activité,4019262797
6 sept. 2020 à 15:27:52,Activité,4015803578
6 sept. 2020 à 15:27:56,Activité,4015799554
6 sept. 2020 à 15:27:59,Activité,4015791410
6 sept. 2020 à 15:28:03,Activité,4015794793
6 sept. 2020 à 15:28:15,Activité,4008963490
6 sept. 2020 à 15:28:18,Activité,4011301862
8 sept. 2020 à 19:41:01,Activité,4031003672
10 sept. 2020 à 15:39:20,Activité,4034090524
10 sept. 2020 à 15:39:22,Activité,4036240970
10 sept. 2020 à 15:39:49,Activité,4034100142
10 sept. 2020 à 15:39:59,Activité,4035491810
11 sept. 2020 à 18:50:26,Activité,4043507774
11 sept. 2020 à 18:50:31,Activité,4042659536
12 sept. 2020 à 20:24:09,Activité,4048742448
13 sept. 2020 à 11:14:25,Activité,4053041709
13 sept. 2020 à 11:14:28,Activité,4053045337
13 sept. 2020 à 11:14:34,Activité,4052388964
13 sept. 2020 à 11:15:00,Activité,4052171701
13 sept. 2020 à 11:15:23,Activité,4052378635
14 sept. 2020 à 05:10:19,Activité,4055722214
16 sept. 2020 à 08:44:18,Activité,4065145752
16 sept. 2020 à 08:44:23,Activité,4061541323
17 sept. 2020 à 12:20:43,Activité,4072363836
18 sept. 2020 à 05:15:28,Activité,4074331954
18 sept. 2020 à 05:15:43,Activité,4073724879
20 sept. 2020 à 17:03:58,Activité,4086805410
20 sept. 2020 à 17:04:07,Activité,4086316485
20 sept. 2020 à 17:04:17,Activité,4086410458
23 sept. 2020 à 17:48:18,Activité,4097165933
23 sept. 2020 à 17:48:38,Activité,4102470815
23 sept. 2020 à 17:48:43,Activité,4093491668
23 sept. 2020 à 17:48:49,Activité,4093511863
26 sept. 2020 à 17:15:20,Activité,4115354366
26 sept. 2020 à 17:17:10,Activité,4114846935
26 sept. 2020 à 17:17:15,Activité,4107704820
26 sept. 2020 à 17:17:20,Activité,4107700850
3 oct. 2020 à 16:52:26,Activité,4146211200
3 oct. 2020 à 16:52:28,Activité,4146211823
3 oct. 2020 à 16:52:46,Activité,4144531830
3 oct. 2020 à 16:53:05,Activité,4138256336
3 oct. 2020 à 16:53:11,Activité,4131818226
3 oct. 2020 à 16:53:24,Activité,4134008919
3 oct. 2020 à 16:53:29,Activité,4131370448
3 oct. 2020 à 16:53:39,Activité,4146210961
4 oct. 2020 à 10:17:21,Activité,4149016982
4 oct. 2020 à 11:25:56,Activité,4149230764
4 oct. 2020 à 11:56:55,Activité,4149162457
4 oct. 2020 à 19:22:27,Activité,4150158215
8 oct. 2020 à 07:27:53,Activité,4164905818
9 oct. 2020 à 11:05:39,Activité,4167982968
11 oct. 2020 à 06:06:57,Activité,4176736130
11 oct. 2020 à 06:07:02,Activité,4172439017
11 oct. 2020 à 06:07:13,Activité,4172444301
11 oct. 2020 à 06:07:23,Activité,4172435330
11 oct. 2020 à 06:07:46,Activité,4177049316
11 oct. 2020 à 12:15:36,Activité,4180591341
11 oct. 2020 à 12:16:06,Activité,4180197539
11 oct. 2020 à 13:11:07,Activité,4180932767
11 oct. 2020 à 20:41:27,Activité,4182085737
11 oct. 2020 à 20:41:49,Activité,4182086052
12 oct. 2020 à 16:47:26,Activité,4180052060
15 oct. 2020 à 14:58:16,Activité,4194845566
17 oct. 2020 à 15:29:57,Activité,4201465211
17 oct. 2020 à 15:30:46,Activité,4201911040
17 oct. 2020 à 15:30:50,Activité,4201913631
18 oct. 2020 à 11:06:56,Activité,4210645660
18 oct. 2020 à 11:46:06,Activité,4210827844
18 oct. 2020 à 15:54:28,Activité,4211523765
18 oct. 2020 à 15:54:33,Activité,4211520956
18 oct. 2020 à 15:54:36,Activité,4212374325
18 oct. 2020 à 17:45:27,Activité,4212461450
20 oct. 2020 à 06:13:11,Activité,4216202580
20 oct. 2020 à 06:14:32,Activité,4216988998
20 oct. 2020 à 06:15:16,Activité,4216794277
20 oct. 2020 à 06:15:27,Activité,4217052711
20 oct. 2020 à 06:15:41,Activité,4215093349
20 oct. 2020 à 21:34:04,Activité,4221356829
20 oct. 2020 à 21:34:31,Activité,4220209146
22 oct. 2020 à 10:28:33,Activité,4227724291
23 oct. 2020 à 14:06:37,Activité,4231905027
24 oct. 2020 à 16:16:03,Activité,4237618869
24 oct. 2020 à 16:16:10,Activité,4236371108
25 oct. 2020 à 12:19:07,Activité,4241220127
26 oct. 2020 à 06:13:43,Activité,4243185341
26 oct. 2020 à 06:13:55,Activité,4243048943
26 oct. 2020 à 15:15:19,Activité,4245674776
26 oct. 2020 à 17:35:53,Activité,4246469432
28 oct. 2020 à 11:59:57,Activité,4249527756
29 oct. 2020 à 18:16:59,Activité,4258568484
29 oct. 2020 à 18:17:01,Activité,4258566047
29 oct. 2020 à 18:17:03,Activité,4258563803
31 oct. 2020 à 18:01:21,Activité,4265141389
1 nov. 2020 à 15:55:36,Activité,4271138694
8 nov. 2020 à 16:25:19,Activité,4308579330
8 nov. 2020 à 16:25:28,Activité,4308123339
12 nov. 2020 à 19:05:06,Activité,4327813346
12 nov. 2020 à 19:05:13,Activité,4323251218
12 nov. 2020 à 19:05:14,Activité,4321735242
12 nov. 2020 à 19:05:25,Activité,4318116164
12 nov. 2020 à 19:05:28,Activité,4316832510
12 nov. 2020 à 19:05:33,Activité,4313740357
12 nov. 2020 à 19:05:37,Activité,4312034792
14 nov. 2020 à 19:18:39,Activité,4335691933
18 nov. 2020 à 18:26:13,Activité,4355293797
18 nov. 2020 à 18:26:30,Activité,4354788207
18 nov. 2020 à 18:26:42,Activité,4352109722
18 nov. 2020 à 18:26:44,Activité,4351376342
18 nov. 2020 à 18:28:43,Activité,4349675513
18 nov. 2020 à 18:28:52,Activité,4346698773
18 nov. 2020 à 18:28:56,Activité,4346762121
20 nov. 2020 à 16:11:10,Activité,4364424329
20 nov. 2020 à 16:12:01,Activité,4359855633
20 nov. 2020 à 16:12:07,Activité,4356871944
20 nov. 2020 à 18:26:27,Activité,4365208211
21 nov. 2020 à 15:59:02,Activité,4370030089
21 nov. 2020 à 15:59:05,Activité,4368420901
21 nov. 2020 à 15:59:08,Activité,4368270866
22 nov. 2020 à 15:48:06,Activité,4375028446
26 nov. 2020 à 17:08:39,Activité,4393833149
26 nov. 2020 à 17:08:50,Activité,4389259159
26 nov. 2020 à 17:09:23,Activité,4388298088
28 nov. 2020 à 07:37:07,Activité,4397923058
28 nov. 2020 à 20:19:48,Activité,4403048431
28 nov. 2020 à 20:21:19,Activité,4400618740
29 nov. 2020 à 12:44:05,Activité,4407017977
29 nov. 2020 à 16:11:15,Activité,4408313686
29 nov. 2020 à 16:51:43,Activité,4408591199
2 déc. 2020 à 15:29:57,Activité,4417048319
4 déc. 2020 à 07:50:13,Activité,4425742447
8 déc. 2020 à 20:59:29,Activité,4446351251
8 déc. 2020 à 21:00:08,Activité,4442674456
8 déc. 2020 à 21:00:12,Activité,4437803450
8 déc. 2020 à 21:00:22,Activité,4437302346
8 déc. 2020 à 21:00:37,Activité,4436500756
8 déc. 2020 à 21:00:41,Activité,4436681110
12 déc. 2020 à 11:45:25,Activité,4453944491
13 déc. 2020 à 14:49:36,Activité,4466780112
13 déc. 2020 à 14:49:41,Activité,4466915598
15 déc. 2020 à 19:37:38,Activité,4476408772
21 déc. 2020 à 13:16:43,Activité,4494723650
21 déc. 2020 à 13:16:47,Activité,4491592533
21 déc. 2020 à 13:17:01,Activité,4486459975
23 déc. 2020 à 12:20:15,Activité,4503354227
23 déc. 2020 à 12:20:43,Activité,4504288070
23 déc. 2020 à 16:46:17,Activité,4508220494
23 déc. 2020 à 16:46:22,Activité,4508218968
23 déc. 2020 à 16:47:12,Activité,4499460518
23 déc. 2020 à 16:47:15,Activité,4495737556
24 déc. 2020 à 14:01:27,Activité,4511779582
24 déc. 2020 à 14:01:41,Activité,4511625625
24 déc. 2020 à 17:59:46,Activité,4513089035
26 déc. 2020 à 21:18:14,Activité,4519099722
26 déc. 2020 à 21:18:20,Activité,4515915309
26 déc. 2020 à 21:18:29,Activité,4513374543
28 déc. 2020 à 06:16:05,Activité,4523986520
29 déc. 2020 à 06:44:05,Activité,4528565175
29 déc. 2020 à 06:44:44,Activité,4519949447
29 déc. 2020 à 18:30:04,Activité,4533376116
29 déc. 2020 à 20:09:52,Activité,4530351695
30 déc. 2020 à 16:06:38,Activité,4539402630
30 déc. 2020 à 16:06:41,Activité,4538786998
30 déc. 2020 à 20:08:21,Activité,4540791320
31 déc. 2020 à 21:13:25,Activité,4545049631
1 janv. 2021 à 12:55:30,Activité,4548154182
1 janv. 2021 à 12:55:57,Activité,4548228813
1 janv. 2021 à 12:56:16,Activité,4540888577
2 janv. 2021 à 20:04:24,Activité,4552491930
2 janv. 2021 à 20:04:28,Publication,13639462
3 janv. 2021 à 09:23:52,Publication,13693481
3 janv. 2021 à 12:13:46,Activité,4558827395
3 janv. 2021 à 12:36:29,Activité,4554672656
3 janv. 2021 à 17:39:58,Activité,4560695482
3 janv. 2021 à 17:40:06,Activité,4560493251
3 janv. 2021 à 17:40:25,Activité,4560695346
4 janv. 2021 à 15:15:16,Activité,4565705971
5 janv. 2021 à 13:54:39,Activité,4570402013
8 janv. 2021 à 21:59:05,Activité,4585907925
8 janv. 2021 à 21:59:41,Activité,4576138114
8 janv. 2021 à 21:59:45,Activité,4572458102
8 janv. 2021 à 21:59:49,Activité,4576543097
8 janv. 2021 à 21:59:51,Activité,4576543275
8 janv. 2021 à 21:59:54,Activité,4572169576
8 janv. 2021 à 22:00:01,Activité,4572064545
9 janv. 2021 à 20:23:52,Activité,4593462812
9 janv. 2021 à 20:23:56,Activité,4590604536
9 janv. 2021 à 20:23:58,Activité,4590451194
10 janv. 2021 à 20:02:22,Activité,4599013667
10 janv. 2021 à 20:02:36,Activité,4599480051
10 janv. 2021 à 23:28:47,Activité,4599816051
13 janv. 2021 à 10:49:13,Activité,4610098486
13 janv. 2021 à 10:49:30,Activité,4608139039
14 janv. 2021 à 17:33:54,Activité,4619819452
15 janv. 2021 à 12:22:39,Activité,4623671174
15 janv. 2021 à 13:50:51,Activité,4624041987
15 janv. 2021 à 13:51:03,Activité,4623720914
17 janv. 2021 à 12:41:08,Activité,4634354034
17 janv. 2021 à 12:41:10,Activité,4633978778
17 janv. 2021 à 18:32:29,Activité,4637185586
17 janv. 2021 à 18:33:51,Activité,4635981215
18 janv. 2021 à 16:26:44,Activité,4640523562
18 janv. 2021 à 22:20:09,Activité,4642343471
20 janv. 2021 à 06:26:31,Activité,4647155259
21 janv. 2021 à 06:29:24,Activité,4651110131
21 janv. 2021 à 06:29:47,Activité,4647306399
